nazwa,szerokosc,dlugosc,wojewodztwo
Budzyń,52.8901,16.9878,wielkopolskie
Buk,52.3554,16.5197,wielkopolskie
Bukowno,50.2677,19.4627,małopolskie
Busko-Zdrój,50.4692,20.7184,świętokrzyskie
Bychawa,51.0144,22.5347,lubelskie
Byczyna,51.1141,18.2142,opolskie
Bydgoszcz,53.1254,18.0014,kujawsko-pomorskie
Bystrzyca Kłodzka,50.2975,16.6503,dolnośląskie
Bytom,50.3470,18.9233,śląskie
Bytom Odrzański,51.7307,15.8264,lubuskie
Bytów,54.1689,17.4894,pomorskie
Cedynia,52.8783,14.2033,zachodniopomorskie
Chełm,51.1337,23.4717,lubelskie
Chełmek,50.1006,19.2583,małopolskie
Chełmno,53.3507,18.4302,kujawsko-pomorskie
Chełmża,53.1866,18.6096,kujawsko-pomorskie
Chęciny,50.8005,20.4623,świętokrzyskie
Chmielnik,50.6143,20.7518,świętokrzyskie
Chocianów,51.4198,15.9025,dolnośląskie
Chociwel,53.4693,15.3352,zachodniopomorskie
Chocz,51.9770,17.8703,wielkopolskie
Chodecz,52.4047,19.0289,kujawsko-pomorskie
Chodzież,52.9923,16.9154,wielkopolskie
Chojna,52.9634,14.4327,zachodniopomorskie
Chojnice,53.6953,17.5631,pomorskie
Chojnów,51.2734,15.9365,dolnośląskie
Choroszcz,53.1439,22.9889,podlaskie
Chorzele,53.2586,20.8972,mazowieckie
Chorzów,50.2986,18.9547,śląskie
Choszczno,53.1674,15.4196,zachodniopomorskie
Chrzanów,50.1416,19.4113,małopolskie
Ciechanowiec,52.6792,22.4997,podlaskie
Ciechanów,52.8761,20.6081,mazowieckie
Ciechocinek,52.8787,18.7871,kujawsko-pomorskie
Cieszanów,50.2455,23.1305,podkarpackie
Cieszyn,49.7486,18.6339,śląskie
Ciężkowice,49.7864,20.9742,małopolskie
Cybinka,52.1939,14.7956,lubuskie
Czaplinek,53.5588,16.2331,zachodniopomorskie
Czarna Białostocka,53.3058,23.2811,podlaskie
Czarna Woda,53.8447,18.0999,pomorskie
Czarne,53.6836,16.9422,pomorskie
Czarnków,52.9047,16.5644,wielkopolskie
Czchów,49.8338,20.6735,małopolskie
Czechowice-Dziedzice,49.9112,19.0071,śląskie
Czeladź,50.3152,19.0716,śląskie
Czempiń,52.1433,16.7573,wielkopolskie
Czerniejewo,52.4267,17.4893,wielkopolskie
Czersk,53.7947,17.9758,pomorskie
Czerwieńsk,52.0130,15.4229,lubuskie
Czerwińsk nad Wisłą,52.3939,20.3124,mazowieckie
Czerwionka-Leszczyny,50.1592,18.6633,śląskie
Częstochowa,50.8083,19.1272,śląskie
Człopa,53.0863,16.1217,zachodniopomorskie
Człuchów,53.6658,17.3578,pomorskie
Czyżew,52.7987,22.3165,podlaskie
Ćmielów,50.8903,21.5100,świętokrzyskie
Daleszyce,50.8014,20.8067,świętokrzyskie
Darłowo,54.4210,16.4103,zachodniopomorskie
Dąbie,52.0885,18.8221,wielkopolskie
Dąbrowa Białostocka,53.6547,23.3467,podlaskie
Dąbrowa Górnicza,50.3214,19.1872,śląskie
Dąbrowa Tarnowska,50.1745,20.9864,małopolskie
Debrzno,53.5367,17.2353,pomorskie
Dębica,50.0509,21.4068,podkarpackie
Dęblin,51.5659,21.8456,lubelskie
Dębno,52.7356,14.7022,zachodniopomorskie
Dobczyce,49.8777,20.0989,małopolskie
Dobiegniew,52.9696,15.7551,lubuskie
Dobra,51.9156,18.6163,wielkopolskie
Dobra,53.5862,15.3073,zachodniopomorskie
Dobre Miasto,53.9862,20.3898,warmińsko-mazurskie
Dobrodzień,50.7285,18.4433,opolskie
Dobrzany,53.3583,15.4289,zachodniopomorskie
Dobrzyca,51.8634,17.6011,wielkopolskie
Dobrzyń nad Wisłą,52.6383,19.3227,kujawsko-pomorskie
Dolsk,51.9871,17.0638,wielkopolskie
Drawno,53.2185,15.7562,zachodniopomorskie
Drawsko Pomorskie,53.5309,15.8096,zachodniopomorskie
Drezdenko,52.8385,15.8313,lubuskie
Drobin,52.7378,19.9903,mazowieckie
Drohiczyn,52.3968,22.6589,podlaskie
Drzewica,51.4505,20.4773,łódzkie
Dubiecko,49.8250,22.3924,podkarpackie
Dukla,49.5551,21.6843,podkarpackie
Duszniki-Zdrój,50.4041,16.3900,dolnośląskie
Dynów,49.8184,22.2280,podkarpackie
Działdowo,53.2386,20.1825,warmińsko-mazurskie
Działoszyce,50.3662,20.3512,świętokrzyskie
Działoszyn,51.1169,18.8653,łódzkie
Dzierzgoń,53.9233,19.3453,pomorskie
Dzierżoniów,50.7282,16.6514,dolnośląskie
Dziwnów,54.0276,14.7603,zachodniopomorskie
Elbląg,54.1614,19.4098,warmińsko-mazurskie
Ełk,53.8229,22.3527,warmińsko-mazurskie
Frampol,50.6716,22.6706,lubelskie
Frombork,54.3570,19.6820,warmińsko-mazurskie
Garwolin,51.8975,21.6155,mazowieckie
Gąbin,52.3984,19.7341,mazowieckie
Gdańsk,54.3497,18.6536,pomorskie
Gdynia,54.5178,18.5425,pomorskie
Giżycko,54.0399,21.7715,warmińsko-mazurskie
Glinojeck,52.8186,20.2842,mazowieckie
Gliwice,50.2939,18.6656,śląskie
Głogów,51.6646,16.0797,dolnośląskie
Głogów Małopolski,50.1511,21.9602,podkarpackie
Głogówek,50.3534,17.8645,opolskie
Głowno,51.9678,19.7139,łódzkie
Głubczyce,50.2001,17.8303,opolskie
Głuchołazy,50.3151,17.3835,opolskie
Głuszyca,50.6875,16.3717,dolnośląskie
Gniew,53.8357,18.8223,pomorskie
Gniewkowo,52.8928,18.4086,kujawsko-pomorskie
Gniezno,52.5333,17.6014,wielkopolskie
Gogolin,50.4915,18.0222,opolskie
Golczewo,53.8246,14.9785,zachodniopomorskie
Goleniów,53.5632,14.8296,zachodniopomorskie
Golina,52.2450,18.0941,wielkopolskie
Golub-Dobrzyń,53.1092,19.0524,kujawsko-pomorskie
Gołańcz,52.9434,17.3012,wielkopolskie
Gołdap,54.3071,22.3022,warmińsko-mazurskie
Goniądz,53.4886,22.7325,podlaskie
Goraj,50.7213,22.6671,lubelskie
Gorlice,49.6549,21.1600,małopolskie
Gorzów Śląski,51.0282,18.4223,opolskie
Gorzów Wielkopolski,52.7319,15.2394,lubuskie
Gostynin,52.4291,19.4619,mazowieckie
Gostyń,51.8821,17.0123,wielkopolskie
Gościno,54.0514,15.6526,zachodniopomorskie
Gozdnica,51.4379,15.0967,lubuskie
Góra,51.6680,16.5390,dolnośląskie
Góra Kalwaria,51.9852,21.2163,mazowieckie
Górowo Iławeckie,54.2878,20.4909,warmińsko-mazurskie
Górzno,53.1977,19.6435,kujawsko-pomorskie
Grabów nad Prosną,51.5082,18.1148,wielkopolskie
Grajewo,53.6472,22.4548,podlaskie
Grodków,50.6985,17.3852,opolskie
Grodzisk Mazowiecki,52.1042,20.6267,mazowieckie
Grodzisk Wielkopolski,52.2246,16.3642,wielkopolskie
Grójec,51.8656,20.8675,mazowieckie
Grudziądz,53.4880,18.7530,kujawsko-pomorskie
Grybów,49.6248,20.9475,małopolskie
Gryfice,53.9161,15.1987,zachodniopomorskie
Gryfino,53.2567,14.4894,zachodniopomorskie
Gryfów Śląski,51.0281,15.4147,dolnośląskie
Gubin,51.9576,14.7204,lubuskie
Hajnówka,52.7433,23.5836,podlaskie
Halinów,52.2265,21.3533,mazowieckie
Hel,54.6075,18.8031,pomorskie
Hrubieszów,50.8051,23.8898,lubelskie
Iława,53.5899,19.5668,warmińsko-mazurskie
Iłowa,51.5035,15.2009,lubuskie
Iłża,51.1623,21.2373,mazowieckie
Imielin,50.1462,19.1857,śląskie
Inowrocław,52.7965,18.2616,kujawsko-pomorskie
Ińsko,53.4357,15.5483,zachodniopomorskie
Iwonicz-Zdrój,49.5660,21.7928,podkarpackie
Izbica Kujawska,52.4206,18.7631,kujawsko-pomorskie
Jabłonowo Pomorskie,53.3886,19.1536,kujawsko-pomorskie
Janikowo,52.7542,18.1123,kujawsko-pomorskie
Janowiec Wielkopolski,52.7569,17.4874,kujawsko-pomorskie
Janów Lubelski,50.7066,22.4110,lubelskie
Jaraczewo,51.9688,17.2973,wielkopolskie
Jarocin,51.9724,17.5016,wielkopolskie
Jarosław,50.0188,22.6835,podkarpackie
Jasień,51.7511,15.0122,lubuskie
Jasło,49.7458,21.4735,podkarpackie
Jastarnia,54.7029,18.6715,pomorskie
Jastrowie,53.4211,16.8155,wielkopolskie
Jastrzębie-Zdrój,49.9503,18.5742,śląskie
Jawor,51.0503,16.1936,dolnośląskie
Jaworzno,50.2042,19.2644,śląskie
Jaworzyna Śląska,50.9144,16.4305,dolnośląskie
Jedlicze,49.7124,21.6415,podkarpackie
Jedlina-Zdrój,50.7249,16.3471,dolnośląskie
Jedwabne,53.2872,22.3025,podlaskie
Jelcz-Laskowice,51.0399,17.3499,dolnośląskie
Jelenia Góra,50.9031,15.7346,dolnośląskie
Jeziorany,53.9765,20.7462,warmińsko-mazurskie
Jędrzejów,50.6403,20.3036,świętokrzyskie
Jordanów,49.6494,19.8303,małopolskie
Józefów,50.4811,23.0527,lubelskie
Józefów,52.1364,21.2353,mazowieckie
Józefów nad Wisłą,51.0409,21.8296,lubelskie
Jutrosin,51.6513,17.1692,wielkopolskie
Kalety,50.5660,18.8890,śląskie
Kalisz,51.7611,18.0869,wielkopolskie
Kalisz Pomorski,53.2984,15.9057,zachodniopomorskie
Kalwaria Zebrzydowska,49.8665,19.6759,małopolskie
Kałuszyn,52.2087,21.8124,mazowieckie
Kamieniec Ząbkowicki,50.5250,16.8781,dolnośląskie
Kamienna Góra,50.7834,16.0327,dolnośląskie
Kamień Krajeński,53.5328,17.5206,kujawsko-pomorskie
Kamień Pomorski,53.9686,14.7727,zachodniopomorskie
Kamieńsk,51.2044,19.4969,łódzkie
Kamionka,51.4708,22.4624,lubelskie
Kańczuga,49.9833,22.4117,podkarpackie
Karczew,52.0758,21.2502,mazowieckie
Kargowa,52.0718,15.8644,lubuskie
Karlino,54.0381,15.8792,zachodniopomorskie
Karpacz,50.7747,15.7546,dolnośląskie
Kartuzy,54.3336,18.2028,pomorskie
Katowice,50.2597,19.0133,śląskie
Kazimierz Dolny,51.3221,21.9474,lubelskie
Kazimierza Wielka,50.2676,20.4868,świętokrzyskie
Kąty Wrocławskie,51.0299,16.7711,dolnośląskie
Kcynia,52.9917,17.4872,kujawsko-pomorskie
Kędzierzyn-Koźle,50.3442,18.2073,opolskie
Kępice,54.2422,16.8878,pomorskie
Kępno,51.2791,17.9835,wielkopolskie
Kętrzyn,54.0772,21.3748,warmińsko-mazurskie
Kęty,49.8837,19.2224,małopolskie
Kielce,50.8717,20.6315,świętokrzyskie
Kietrz,50.0796,18.0022,opolskie
Kisielice,53.6091,19.2590,warmińsko-mazurskie
Kleczew,52.3709,18.1730,wielkopolskie
Kleszczele,52.5750,23.3258,podlaskie
Klimontów,50.6565,21.4504,świętokrzyskie
Kluczbork,50.9731,18.2146,opolskie
Kłecko,52.6318,17.4296,wielkopolskie
Kłobuck,50.9052,18.9378,śląskie
Kłodawa,52.2535,18.9132,wielkopolskie
Kłodzko,50.4374,16.6528,dolnośląskie
Knurów,50.2231,18.6669,śląskie
Knyszyn,53.3127,22.9195,podlaskie
Kobylin,51.7166,17.2267,wielkopolskie
Kobyłka,52.3393,21.1973,mazowieckie
Kock,51.6397,22.4464,lubelskie
Kolbuszowa,50.2432,21.7741,podkarpackie
Kolno,53.4092,21.9353,podlaskie
Kolonowskie,50.6532,18.3842,opolskie
Koluszki,51.7450,19.8173,łódzkie
Kołaczyce,49.8071,21.4336,podkarpackie
Koło,52.2044,18.6326,wielkopolskie
Kołobrzeg,54.1798,15.5723,zachodniopomorskie
Koniecpol,50.7727,19.6768,śląskie
Konin,52.2281,18.2541,wielkopolskie
Konstancin-Jeziorna,52.0928,21.1182,mazowieckie
Konstantynów Łódzki,51.7479,19.3255,łódzkie
Końskie,51.1916,20.4071,świętokrzyskie
Koprzywnica,50.5932,21.5846,świętokrzyskie
Korfantów,50.4881,17.5955,opolskie
Koronowo,53.3101,17.9422,kujawsko-pomorskie
Korsze,54.1723,21.1407,warmińsko-mazurskie
Kosów Lacki,52.5959,22.1471,mazowieckie
Kostrzyn,52.3973,17.2255,wielkopolskie
Kostrzyn nad Odrą,52.5899,14.6475,lubuskie
Koszalin,54.1902,16.1819,zachodniopomorskie
Koszyce,50.1685,20.5777,małopolskie
Kościan,52.0859,16.6442,wielkopolskie
Kościerzyna,54.1211,17.9775,pomorskie
Kowal,52.5305,19.1487,kujawsko-pomorskie
Kowalewo Pomorskie,53.1547,18.8982,kujawsko-pomorskie
Kowary,50.7924,15.8365,dolnośląskie
Koziegłowy,50.5983,19.1619,śląskie
Kozienice,51.5850,21.5494,mazowieckie
Koźmin Wielkopolski,51.8272,17.4529,wielkopolskie
Koźminek,51.7996,18.3354,wielkopolskie
Kożuchów,51.7453,15.5944,lubuskie
Kórnik,52.2486,17.0897,wielkopolskie
Krajenka,53.2971,16.9904,wielkopolskie
Kraków,50.0618,19.9374,małopolskie
Krapkowice,50.4746,17.9671,opolskie
Krasnobród,50.5449,23.2113,lubelskie
Krasnystaw,50.9815,23.1673,lubelskie
Kraśnik,50.9217,22.2195,lubelskie
Krobia,51.7742,16.9846,wielkopolskie
Krosno,49.6920,21.7670,podkarpackie
Krosno Odrzańskie,52.0522,15.0973,lubuskie
Krośniewice,52.2561,19.1707,łódzkie
Krotoszyn,51.6957,17.4376,wielkopolskie
Kruszwica,52.6762,18.3230,kujawsko-pomorskie
Krynica Morska,54.3800,19.4369,pomorskie
Krynica-Zdrój,49.4214,20.9597,małopolskie
Krynki,53.2644,23.7744,podlaskie
Krzanowice,50.0187,18.1252,śląskie
Krzepice,50.9708,18.7283,śląskie
Krzeszowice,50.1351,19.6366,małopolskie
Krzywiń,51.9617,16.8208,wielkopolskie
Krzyż Wielkopolski,52.8791,16.0136,wielkopolskie
Książ Wielkopolski,52.0624,17.2392,wielkopolskie
Kudowa-Zdrój,50.4409,16.2406,dolnośląskie
Kunów,50.9547,21.2794,świętokrzyskie
Kutno,52.2342,19.3578,łódzkie
Kuźnia Raciborska,50.2003,18.3113,śląskie
Kwidzyn,53.7358,18.9389,pomorskie
Lądek-Zdrój,50.3425,16.8872,dolnośląskie
Legionowo,52.4033,20.9269,mazowieckie
Legnica,51.2066,16.1628,dolnośląskie
Lesko,49.4718,22.3285,podkarpackie
Leszno,51.8433,16.5744,wielkopolskie
Leśna,51.0238,15.2640,dolnośląskie
Leśnica,50.4287,18.1830,opolskie
Lewin Brzeski,50.7552,17.6161,opolskie
Leżajsk,50.2630,22.4183,podkarpackie
Lębork,54.5435,17.7499,pomorskie
Lędziny,50.1303,19.1084,śląskie
Libiąż,50.1066,19.3298,małopolskie
Lidzbark,53.2613,19.8222,warmińsko-mazurskie
Lidzbark Warmiński,54.1259,20.5829,warmińsko-mazurskie
Limanowa,49.7065,20.4227,małopolskie
Lipiany,53.0029,14.9689,zachodniopomorskie
Lipno,52.8458,19.1815,kujawsko-pomorskie
Lipsk,53.7331,23.4044,podlaskie
Lipsko,51.1581,21.6492,mazowieckie
Lubaczów,50.1574,23.1224,podkarpackie
Lubań,51.1200,15.2894,dolnośląskie
Lubartów,51.4577,22.6095,lubelskie
Lubawa,53.5035,19.7482,warmińsko-mazurskie
Lubawka,50.7068,15.9999,dolnośląskie
Lubień Kujawski,52.4053,19.1657,kujawsko-pomorskie
Lubin,51.3986,16.2033,dolnośląskie
Lublin,51.2479,22.5680,lubelskie
Lubliniec,50.6692,18.6831,śląskie
Lubniewice,52.5126,15.2448,lubuskie
Lubomierz,51.0128,15.5105,dolnośląskie
Luboń,52.3459,16.8777,wielkopolskie
Lubowidz,53.1202,19.8448,mazowieckie
Lubraniec,52.5439,18.8357,kujawsko-pomorskie
Lubsko,51.7855,14.9685,lubuskie
Lubycza Królewska,50.3406,23.5207,lubelskie
Lututów,51.3713,18.4342,łódzkie
Lwówek,52.4480,16.1808,wielkopolskie
Lwówek Śląski,51.1108,15.5850,dolnośląskie
Łabiszyn,52.9530,17.9190,kujawsko-pomorskie
Łagów,50.7750,21.0841,świętokrzyskie
Łańcut,50.0657,22.2274,podkarpackie
Łapy,52.9894,22.8797,podlaskie
Łasin,53.5186,19.0864,kujawsko-pomorskie
Łask,51.5914,19.1336,łódzkie
Łaskarzew,51.7903,21.5931,mazowieckie
Łaszczów,50.5318,23.7157,lubelskie
Łaziska Górne,50.1494,18.8397,śląskie
Łazy,50.4275,19.3942,śląskie
Łeba,54.7607,17.5566,pomorskie
Łęczna,51.3048,22.8822,lubelskie
Łęczyca,52.0593,19.1984,łódzkie
Łęknica,51.5367,14.7426,lubuskie
Łobez,53.6394,15.6219,zachodniopomorskie
Łobżenica,53.2603,17.2553,wielkopolskie
Łochów,52.5307,21.6816,mazowieckie
Łomianki,52.3336,20.8869,mazowieckie
Łomża,53.1786,22.0756,podlaskie
Łosice,52.2111,22.7177,mazowieckie
Łowicz,52.1081,19.9460,łódzkie
Łódź,51.7644,19.4631,łódzkie
Łuków,51.9300,22.3807,lubelskie
Maków Mazowiecki,52.8631,21.1017,mazowieckie
Maków Podhalański,49.7303,19.6764,małopolskie
Malbork,54.0359,19.0285,pomorskie
Małogoszcz,50.8121,20.2642,świętokrzyskie
Małomice,51.5553,15.4486,lubuskie
Margonin,52.9734,17.0944,wielkopolskie
Marki,52.3375,21.1146,mazowieckie
Maszewo,53.4978,15.0596,zachodniopomorskie
Miasteczko Śląskie,50.4906,18.9222,śląskie
Miastko,54.0003,16.9764,pomorskie
Michałowo,53.0333,23.6064,podlaskie
Miechów,50.3558,20.0286,małopolskie
Miejska Górka,51.6554,16.9569,wielkopolskie
Mielec,50.2880,21.4207,podkarpackie
Mielno,54.2560,16.0521,zachodniopomorskie
Mieroszów,50.6664,16.1867,dolnośląskie
Mieszkowice,52.7868,14.4933,zachodniopomorskie
Międzybórz,51.3979,17.6650,dolnośląskie
Międzychód,52.6045,15.8995,wielkopolskie
Międzylesie,50.1477,16.6673,dolnośląskie
Międzyrzec Podlaski,51.9873,22.7807,lubelskie
Międzyrzecz,52.4455,15.5786,lubuskie
Międzyzdroje,53.9288,14.4502,zachodniopomorskie
Mikołajki,53.8035,21.5718,warmińsko-mazurskie
Mikołów,50.1697,18.9053,śląskie
Mikstat,51.5321,17.9730,wielkopolskie
Milanówek,52.1253,20.6656,mazowieckie
Milicz,51.5243,17.2727,dolnośląskie
Miłakowo,54.0090,20.0697,warmińsko-mazurskie
Miłomłyn,53.7646,19.8367,warmińsko-mazurskie
Miłosław,52.2028,17.4886,wielkopolskie
Mińsk Mazowiecki,52.1784,21.5714,mazowieckie
Mirosławiec,53.3415,16.0881,zachodniopomorskie
Mirsk,50.9701,15.3831,dolnośląskie
Mława,53.1114,20.3817,mazowieckie
Młynary,54.1878,19.7228,warmińsko-mazurskie
Modliborzyce,50.7539,22.3294,lubelskie
Mogielnica,51.6944,20.7231,mazowieckie
Mogilno,52.6577,17.9499,kujawsko-pomorskie
Mońki,53.4050,22.7994,podlaskie
Morawica,50.7451,20.6203,świętokrzyskie
Morąg,53.9162,19.9290,warmińsko-mazurskie
Mordy,52.2109,22.5167,mazowieckie
Moryń,52.8576,14.3985,zachodniopomorskie
Mosina,52.2446,16.8506,wielkopolskie
Mrągowo,53.8767,21.3042,warmińsko-mazurskie
Mrocza,53.2455,17.6070,kujawsko-pomorskie
Mrozy,52.1657,21.8026,mazowieckie
Mszana Dolna,49.6780,20.0824,małopolskie
Mszczonów,51.9722,20.5207,mazowieckie
Murowana Goślina,52.5758,17.0094,wielkopolskie
Muszyna,49.3548,20.8960,małopolskie
Mysłowice,50.2450,19.1353,śląskie
Myszków,50.5739,19.3233,śląskie
Myszyniec,53.3823,21.3447,mazowieckie
Myślenice,49.8338,19.9381,małopolskie
Myślibórz,52.9251,14.8677,zachodniopomorskie
Nakło nad Notecią,53.1386,17.6047,kujawsko-pomorskie
Nałęczów,51.2878,22.2153,lubelskie
Namysłów,51.0766,17.7173,opolskie
Narol,50.3488,23.3269,podkarpackie
Nasielsk,52.5922,20.8028,mazowieckie
Nekla,52.3644,17.4124,wielkopolskie
Nidzica,53.3598,20.4259,warmińsko-mazurskie
Niemcza,50.7167,16.8350,dolnośląskie
Niemodlin,50.6423,17.6194,opolskie
Niepołomice,50.0331,20.2164,małopolskie
Nieszawa,52.8341,18.9024,kujawsko-pomorskie
Nisko,50.5185,22.1477,podkarpackie
Nowa Dęba,50.4150,21.7528,podkarpackie
Nowa Ruda,50.5788,16.5024,dolnośląskie
Nowa Sarzyna,50.3204,22.3437,podkarpackie
Nowa Słupia,50.8638,21.0899,świętokrzyskie
Nowa Sól,51.8058,15.7164,lubuskie
Nowe,53.6488,18.7262,kujawsko-pomorskie
Nowe Brzesko,50.1311,20.3744,małopolskie
Nowe Miasteczko,51.6905,15.7306,lubuskie
Nowe Miasto Lubawskie,53.4240,19.5923,warmińsko-mazurskie
Nowe Miasto nad Pilicą,51.6181,20.5814,mazowieckie
Nowe Skalmierzyce,51.7087,17.9917,wielkopolskie
Nowe Warpno,53.7227,14.2881,zachodniopomorskie
Nowogard,53.6682,15.1244,zachodniopomorskie
Nowogrodziec,51.1971,15.3980,dolnośląskie
Nowogród,53.2261,21.8792,podlaskie
Nowogród Bobrzański,51.8012,15.2469,lubuskie
Nowy Dwór Gdański,54.2139,19.1172,pomorskie
Nowy Dwór Mazowiecki,52.4306,20.7164,mazowieckie
Nowy Korczyn,50.2997,20.8081,świętokrzyskie
Nowy Sącz,49.6250,20.6906,małopolskie
Nowy Staw,54.1347,19.0081,pomorskie
Nowy Targ,49.4775,20.0321,małopolskie
Nowy Tomyśl,52.3167,16.1326,wielkopolskie
Nowy Wiśnicz,49.9152,20.4621,małopolskie
Nysa,50.4737,17.3327,opolskie
Oborniki,52.6458,16.8089,wielkopolskie
Oborniki Śląskie,51.2995,16.9140,dolnośląskie
Obrzycko,52.7081,16.5268,wielkopolskie
Odolanów,51.5741,17.6736,wielkopolskie
Ogrodzieniec,50.4514,19.5217,śląskie
Okonek,53.5352,16.8497,wielkopolskie
Olecko,54.0379,22.5027,warmińsko-mazurskie
Olesno,50.8766,18.4218,opolskie
Oleszyce,50.1681,23.0317,podkarpackie
Oleśnica,51.2095,17.3803,dolnośląskie
Oleśnica,50.4505,21.0640,świętokrzyskie
Olkusz,50.2790,19.5600,małopolskie
Olsztyn,53.7789,20.4800,warmińsko-mazurskie
Olsztynek,53.5833,20.2852,warmińsko-mazurskie
Olszyna,51.0671,15.3783,dolnośląskie
Oława,50.9406,17.2987,dolnośląskie
Opalenica,52.3075,16.4131,wielkopolskie
Opatowiec,50.2417,20.7239,świętokrzyskie
Opatów,50.8014,21.4239,świętokrzyskie
Opatówek,51.7395,18.2141,wielkopolskie
Opoczno,51.3761,20.2830,łódzkie
Opole,50.6686,17.9223,opolskie
Opole Lubelskie,51.1473,21.9691,lubelskie
Orneta,54.1164,20.1311,warmińsko-mazurskie
Orzesze,50.1444,18.7761,śląskie
Orzysz,53.8087,21.9465,warmińsko-mazurskie
Osieczna,51.9043,16.6776,wielkopolskie
Osiek,50.5200,21.4428,świętokrzyskie
Ostrołęka,53.0814,21.5725,mazowieckie
Ostroróg,52.6267,16.4508,wielkopolskie
Ostrowiec Świętokrzyski,50.9439,21.3899,świętokrzyskie
Ostróda,53.6995,19.9640,warmińsko-mazurskie
Ostrów Lubelski,51.4946,22.8542,lubelskie
Ostrów Mazowiecka,52.8058,21.8978,mazowieckie
Ostrów Wielkopolski,51.6495,17.8167,wielkopolskie
Ostrzeszów,51.4237,17.9315,wielkopolskie
Ośno Lubuskie,52.4539,14.8711,lubuskie
Oświęcim,50.0380,19.2209,małopolskie
Otmuchów,50.4653,17.1725,opolskie
Otwock,52.1072,21.2656,mazowieckie
Otyń,51.8471,15.7102,lubuskie
Ozimek,50.6788,18.2137,opolskie
Ozorków,51.9622,19.2949,łódzkie
Ożarów,50.8861,21.6652,świętokrzyskie
Ożarów Mazowiecki,52.2104,20.7940,mazowieckie
Pabianice,51.6650,19.3592,łódzkie
Pacanów,50.3998,21.0411,świętokrzyskie
Paczków,50.4643,17.0064,opolskie
Pajęczno,51.1469,18.9950,łódzkie
Pakość,52.8070,18.0877,kujawsko-pomorskie
Parczew,51.6407,22.9001,lubelskie
Pasłęk,54.0653,19.6587,warmińsko-mazurskie
Pasym,53.6504,20.7918,warmińsko-mazurskie
Pelplin,53.9282,18.6975,pomorskie
